iter	Passed	Remaining
968	19209	119560
969	19238	119596
970	19267	119630
971	19293	119651
972	19322	119690
973	19352	119732
974	19377	119746
975	19404	119769
976	19434	119807
977	19463	119848
978	19492	119883
979	19519	119904
980	19546	119930
981	19572	119943
982	19599	119969
983	19627	119998
984	19654	120021
985	19679	120035
986	19707	120063
987	19739	120112
988	19764	120127
989	19795	120175
990	19825	120213
991	19853	120241
992	19877	120247
993	19901	120251
994	19926	120260
995	19953	120283
996	19979	120299
997	20006	120320
998	20033	120341
999	20062	120374
1000	20089	120396
1001	20115	120414
1002	20141	120427
1003	20168	120448
1004	20199	120492
1005	20228	120529
1006	20256	120552
1007	20283	120572
1008	20310	120596
1009	20340	120633
1010	20369	120663
1011	20398	120697
1012	20421	120696
1013	20447	120710
1014	20477	120748
1015	20505	120770
1016	20535	120810
1017	20564	120839
1018	20591	120862
1019	20618	120878
1020	20645	120899
1021	20674	120929
1022	20700	120947
1023	20727	120961
1024	20753	120976
1025	20781	121004
1026	20814	121058
1027	20842	121080
1028	20870	121105
1029	20898	121129
1030	20926	121157
1031	20955	121183
1032	20981	121197
1033	21007	121211
1034	21033	121222
1035	21062	121251
1036	21091	121280
1037	21119	121303
1038	21149	121341
1039	21176	121355
1040	21200	121359
1041	21229	121384
1042	21257	121409
1043	21286	121441
1044	21316	121471
1045	21342	121486
1046	21370	121509
1047	21399	121535
1048	21422	121533
1049	21447	121534
1050	21474	121551
1051	21502	121574
1052	21531	121601
1053	21558	121621
1054	21583	121624
1055	21611	121646
1056	21639	121667
1057	21666	121685
1058	21692	121696
1059	21721	121723
1060	21750	121749
1061	21776	121758
1062	21804	121779
1063	21830	121792
1064	21856	121799
1065	21882	121811
1066	21906	121808
1067	21929	121802
1068	21958	121832
1069	21985	121844
1070	22012	121862
1071	22039	121874
1072	22065	121882
1073	22092	121902
1074	22121	121925
1075	22152	121959
1076	22179	121975
1077	22208	122002
1078	22234	122011
1079	22262	122032
1080	22287	122032
1081	22313	122045
1082	22341	122060
1083	22367	122072
1084	22393	122081
1085	22420	122096
1086	22447	122107
1087	22476	122132
1088	22509	122177
1089	22538	122203
1090	22565	122217
1091	22592	122233
1092	22620	122248
1093	22649	122273
1094	22677	122293
1095	22708	122328
1096	22734	122336
1097	22759	122338
1098	22784	122337
1099	22811	122355
1100	22837	122360
1101	22864	122373
1102	22892	122388
1103	22920	122411
1104	22950	122439
1105	22978	122454
1106	23010	122494
1107	23038	122511
1108	23065	122523
1109	23092	122536
1110	23120	122555
1111	23145	122556
1112	23172	122565
1113	23200	122584
1114	23227	122593
1115	23254	122609
1116	23283	122631
1117	23313	122657
1118	23339	122664
1119	23367	122676
1120	23394	122689
1121	23422	122704
1122	23450	122723
1123	23475	122726
1124	23504	122746
1125	23539	122795
1126	23564	122796
1127	23588	122794
1128	23617	122812
1129	23646	122834
1130	23677	122866
1131	23705	122883
1132	23732	122895
1133	23764	122928
1134	23791	122942
1135	23816	122942
1136	23843	122950
1137	23872	122972
1138	23902	122994
1139	23929	123006
1140	23956	123014
1141	23984	123028
1142	24008	123024
1143	24037	123045
1144	24066	123067
1145	24095	123082
1146	24122	123094
1147	24151	123111
1148	24175	123109
1149	24204	123126
1150	24233	123144
1151	24261	123162
1152	24289	123176
1153	24314	123176
1154	24340	123176
1155	24371	123204
1156	24398	123216
1157	24425	123225
1158	24451	123230
1159	24477	123231
1160	24507	123257
1161	24537	123278
1162	24562	123278
1163	24587	123277
1164	24616	123292
1165	24642	123294
1166	24669	123305
1167	24696	123315
1168	24723	123322
1169	24754	123349
1170	24780	123350
1171	24807	123358
1172	24835	123372
1173	24862	123378
1174	24892	123401
1175	24920	123417
1176	24946	123417
1177	24972	123420
1178	24998	123422
1179	25024	123425
1180	25053	123442
1181	25081	123455
1182	25105	123448
1183	25131	123450
1184	25159	123462
1185	25187	123474
1186	25213	123475
1187	25240	123481
1188	25267	123490
1189	25293	123492
1190	25318	123487
1191	25342	123480
1192	25368	123483
1193	25394	123483
1194	25419	123480
1195	25446	123485
1196	25476	123508
1197	25503	123512
1198	25526	123504
1199	25557	123526
1200	25586	123545
1201	25615	123558
1202	25644	123573
1203	25669	123573
1204	25696	123575
1205	25721	123575
1206	25749	123585
1207	25775	123586
1208	25802	123590
1209	25834	123621
1210	25868	123662
1211	25896	123668
1212	25925	123686
1213	25953	123697
1214	25978	123693
1215	26005	123698
1216	26032	123700
1217	26058	123700
1218	26084	123705
1219	26109	123697
1220	26134	123694
1221	26161	123699
1222	26191	123719
1223	26217	123720
1224	26245	123730
1225	26272	123732
1226	26298	123734
1227	26324	123734
1228	26351	123738
1229	26378	123743
1230	26404	123741
1231	26431	123748
1232	26458	123750
1233	26484	123750
1234	26507	123737
1235	26532	123733
1236	26559	123734
1237	26584	123732
1238	26612	123742
1239	26639	123743
1240	26666	123747
1241	26693	123753
1242	26719	123750
1243	26746	123756
1244	26772	123755
1245	26799	123759
1246	26824	123755
1247	26852	123760
1248	26878	123761
1249	26904	123761
1250	26932	123767
1251	26960	123775
1252	26986	123777
1253	27013	123780
1254	27040	123783
1255	27065	123779
1256	27091	123776
1257	27120	123787
1258	27148	123796
1259	27174	123795
1260	27200	123791
1261	27229	123804
1262	27256	123807
1263	27285	123819
1264	27312	123825
1265	27339	123825
1266	27364	123819
1267	27395	123842
1268	27423	123846
1269	27447	123837
1270	27474	123838
1271	27502	123845
1272	27529	123850
1273	27557	123857
1274	27585	123863
1275	27613	123873
1276	27640	123875
1277	27664	123863
1278	27691	123863
1279	27719	123871
1280	27748	123882
1281	27773	123876
1282	27800	123875
1283	27825	123872
1284	27853	123879
1285	27882	123890
1286	27911	123897
1287	27939	123907
1288	27966	123907
1289	27994	123912
1290	28018	123900
1291	28048	123915
1292	28075	123920
1293	28101	123915
1294	28124	123901
1295	28149	123891
1296	28176	123894
1297	28201	123887
1298	28228	123886
1299	28253	123880
1300	28279	123876
1301	28305	123876
1302	28333	123881
1303	28361	123884
1304	28386	123877
1305	28413	123878
1306	28440	123881
1307	28466	123877
1308	28490	123865
1309	28515	123859
1310	28544	123867
1311	28571	123869
1312	28598	123868
1313	28626	123874
1314	28653	123873
1315	28679	123870
1316	28708	123881
